Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x80000f0        function_80000f0                                   Unidentified (14 lines, 1 calls)
0x800011c        function_800011c                                   Unidentified (4 lines, 2 calls)
0x8000144        function_8000144                                   Unidentified (4 lines, 1 calls)
0x8000156        function_8000156                                   Unidentified (4 lines, 1 calls)
0x8000168        function_8000168                                   Unidentified (4 lines, 1 calls)
0x800018c        function_800018c                                   Unidentified (4 lines, 1 calls)
0x800019a        function_800019a                                   Unidentified (4 lines, 1 calls)
0x800019e        function_800019e                                   Unidentified (4 lines, 2 calls)
0x80001b0        function_80001b0                                   Unidentified (47 lines, 1 calls)
0x80001d8        function_80001d8                                   Unidentified (4 lines, 1 calls)
